Iteration 0, likelihood -38814521.793368, 479.94376 seconds
Iteration 1, likelihood -37958943.410373, 445.89083 seconds
Iteration 2, likelihood -36891312.421143, 406.96995 seconds
Iteration 3, likelihood -35645592.096741, 361.02832 seconds
Iteration 4, likelihood -34678864.542611, 318.64610 seconds
Iteration 5, likelihood -34038117.564283, 291.10886 seconds
Iteration 6, likelihood -33596227.302053, 272.96954 seconds
Iteration 7, likelihood -33279482.610402, 259.76899 seconds
Iteration 8, likelihood -33047711.827335, 252.56825 seconds
Iteration 9, likelihood -32882347.842126, 250.48742 seconds
Iteration 10, likelihood -32755259.545214, 243.56097 seconds
Iteration 11, likelihood -32654230.137433, 240.42035 seconds
Iteration 12, likelihood -32576248.099822, 238.11274 seconds
Iteration 13, likelihood -32513743.211541, 235.78339 seconds
Iteration 14, likelihood -32459112.157095, 235.47432 seconds
Iteration 15, likelihood -32410497.478383, 235.51321 seconds
Iteration 16, likelihood -32369276.159913, 232.52487 seconds
Iteration 17, likelihood -32335375.068716, 232.37323 seconds
Iteration 18, likelihood -32300830.724987, 231.05199 seconds
Iteration 19, likelihood -32272504.678597, 229.22592 seconds
Iteration 20, likelihood -32245031.093056, 228.81978 seconds
Iteration 21, likelihood -32220626.777587, 227.85423 seconds
Iteration 22, likelihood -32198943.149053, 227.25640 seconds
Iteration 23, likelihood -32180610.721040, 226.41066 seconds
Iteration 24, likelihood -32164227.366566, 225.92250 seconds
Iteration 25, likelihood -32149827.310861, 225.35549 seconds
Iteration 26, likelihood -32132144.237667, 226.83738 seconds
Iteration 27, likelihood -32115720.498575, 225.44009 seconds
Iteration 28, likelihood -32102060.688983, 224.44522 seconds
Iteration 29, likelihood -32086915.963340, 224.25121 seconds
Iteration 30, likelihood -32075200.022596, 222.87190 seconds
Iteration 31, likelihood -32063788.456333, 224.37119 seconds
Iteration 32, likelihood -32053189.819390, 224.01318 seconds
Iteration 33, likelihood -32042737.887168, 221.63769 seconds
Iteration 34, likelihood -32031177.541416, 221.34107 seconds
Iteration 35, likelihood -32022244.647840, 220.79842 seconds
Iteration 36, likelihood -32013251.995027, 220.64295 seconds
Iteration 37, likelihood -32004786.138112, 220.11513 seconds
Iteration 38, likelihood -31997326.326512, 219.40643 seconds
Iteration 39, likelihood -31990088.985076, 219.03045 seconds
Iteration 40, likelihood -31980822.834559, 218.53248 seconds
Iteration 41, likelihood -31972794.682688, 218.56738 seconds
Iteration 42, likelihood -31964862.896449, 218.31159 seconds
